	freebase_ids	nominations
234	/m/01jr5h	NAACP Image Award for Outstanding Supporting Actor in a Motion Picture
235	/m/04x8_g	Academy Award for Best Supporting Actor
236	/m/03fpwp	Academy Award for Best Supporting Actor
237	/m/04x93v	Academy Award for Best Supporting Actor
238	/m/0807ml	The Game Awards − Best Performance
239	/m/0g9z_j9	Tony Award for Best Featured Actor in a Play
240	/m/03_nv3	
241	/m/03qcr2y	
242	/m/03y8mf2	
243	/m/0k36s5	
244	/m/0d1bq3	
245	/m/083p17	
246	/m/02_wnq	
247	/m/0gc13w6	
248	/m/04gqlx0	
249	/m/0gch_ws	
250	/m/03yft79	
251	/m/05pqxk	
252	/m/05wxj_z	
253	/m/02qjkcy	
254	/m/01wb7j_	
255	/m/0dtd8b	
256	/m/05qtcv	
257	/m/02jt4y	
258	/m/01w170v	
259	/m/03wlz0	
260	/m/05cl2w	
261	/m/07f3xb	
262	/m/04md2m	
263	/m/03gtq7t	
264	/m/04lrv3	
265	/m/01rjrwm	
266	/m/0gchxbs	
267	/m/0bwb3f8	
268	/m/033db3	
269	/m/05ztstb	
270	/m/07s8ksr	
271	/m/0309r1	
272	/m/0gd2n3	
273	/m/0c5qr	
274	/m/01sg96	
275	/m/0byzg7	
276	/m/05p05y3	
277	/m/0gb_czr	
278	/m/038xl6	
279	/m/0gbxqtt	
280	/m/0j1wnc8	
281	/m/0gbymnz	
282	/m/027kj6l	
283	/m/04gl1d0	
284	/m/03dmy0	
285	/m/0l8v5	
286	/m/0652ty	
287	/m/0gc4v9r	
288	/m/0bwb3g4	
289	/m/0gc27kf	
290	/m/04yg_0x	
291	/m/0dj2nf2	
292	/m/0cnxwrq	
293	/m/05vvl1	
294	/m/03xk1_	
295	/m/09g8835	
296	/m/01tnbn	
297	/m/071ydw	
298	/m/032wdd	
299	/m/01phkr	
300	/m/0jt3m3	
301	/m/0gbyyv0	
302	/m/0bxppg	
303	/m/03xxf9j	
304	/m/038bht	
305	/m/0c6mv6	
306	/m/0k36sl	
307	/m/0d6b35	
308	/m/01m79cb	
309	/m/06rfnb	
310	/m/0gc0szf	
311	/m/0gbwz67	
312	/m/07kh372	
313	/m/03g4xn	
314	/m/0gcbkl_	
315	/m/018yhr	
316	/m/05qzxw	
317	/m/0gdk2x0	
318	/m/0gbxbck	
319	/m/025z88d	
320	/m/026zq2j	
321	/m/02q3h_p	
322	/m/022q4j	
323	/m/0b7n19	
324	/m/0gbwskz	
325	/m/0bwb3fx	
326	/m/02_36w	
327	/m/0gr66w	
328	/m/01xq7p	
329	/m/01m5lf	
330	/m/0fcj4	
331	/m/0gc4h6t	
332	/m/06xz0d	
333	/m/02z5bft	
334	/m/0gbzvqn	
335	/m/0j1wnb5	
336	/m/04n2_0f	
337	/m/0bqfbt	
338	/m/03h5fvf	
339	/m/0gbwmp3	
340	/m/01qn8k	
341	/m/05xl3r	
342	/m/0bh6gr	
343	/m/01z0p8w	
344	/m/03yhc3	
345	/m/058w0c	
346	/m/0b7bwqw	
347	/m/0k36ss	
348	/m/0gcj27h	
349	/m/09zvk56	
350	/m/03l3ln	
351	/m/0266d2k	
352	/m/0bmcv92	
353	/m/02qn4z	
354	/m/0hpx6x7	
355	/m/0gcybh7	
356	/m/05k4y7	
357	/m/03gkd7	
358	/m/0f3hp6	
359	/m/04mz6m8	
360	/m/0gbwy_h	
361	/m/0gbyhr9	
362	/m/0gc80lv	
363	/m/01wc7p	
364	/m/0415270	
365	/m/0b3xxx	
366	/m/03c0g4b	
367	/m/01dkpb	
368	/m/0bwb3gd	
369	/m/027lhzz	
370	/m/026_y_d	
371	/m/0gcxktp	
372	/m/02rqyvw	
373	/m/0jz5cb	
374	/m/0c0qw	
375	/m/0gbx5gk	
376	/m/0gc4tw7	
377	/m/02lf1j	
378	/m/0bqb9n	
379	/m/0fd16g	
380	/m/02wb_59	
381	/m/02_tv5	
382	/m/064ktx7	
383	/m/0jtcrj	
384	/m/03cccpg	
385	/m/05j12n	
386	/m/0197p7	
387	/m/042g8x	
388	/m/0gc5szl	
389	/m/07g7jw	
390	/m/03m4wg6	
391	/m/0gc4xh1	
392	/m/0bxnq4	
393	/m/02ps3gb	
394	/m/06l0pj	
395	/m/03gtp3c	
396	/m/0bwb3fp	
397	/m/0gbymbx	
398	/m/0gc7bhf	
399	/m/043cl9	
400	/m/0jfx1	Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor
401	/m/0bj9k	Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Golden Raspberry Award for Worst Actor,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie,Tony Award for Best Actor in a Play
402	/m/01bcq	Tony Award for Best Actress in a Play,Tony Award for Best Actress in a Play,Tony Award for Best Actress in a Musical
403	/m/029m83	Academy Award for Best Picture,Academy Award for Best Picture,Academy Award for Best Director,Academy Award for Best Director,Academy Award for Best Director,European Film Award for Best Film
404	/m/0d9mt_	César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Supporting Actress,César Award for Best Supporting Actress,European Film Award for Best Actress,European Film Award for Best Actress
405	/m/0lgsq	Academy Award for Best Original Song,Grammy Award for Best Rock Song,Grammy Award for Best Rock Song,Grammy Award for Best Rock Album,Grammy Award for Best Female Rock Vocal Performance,Grammy Award for Best Female Rock Vocal Performance,Grammy Award for Best Female Rock Vocal Performance,Grammy Award for Best Female Rock Vocal Performance,Grammy Award for Best Female Rock Vocal Performance,Grammy Award for Best Solo Rock Vocal Performance,Grammy Award for Best Female Rock Vocal Performance,Grammy Award for Best Rock Song,Grammy Award for Best Song Written for Visual Media,Broadcast Film Critics Association Award for Best Song,American Music Award for Favorite Pop/Rock Female Artist,Grammy Award for Best Female Rock Vocal Performance,Grammy Award for Best Female Rock Vocal Performance,Grammy Award for Best Female Rock Vocal Performance,World Soundtrack Award for Best Original Song Written Directly for a Film,Juno Award for International Entertainer of the Year
